subject,min_grade,max_grade,overview,objectives_outcomes,comment
Social Emotional,2,3,"Join students together in a circle, either seated or standing.
Explain that the class will participate in an activity called 'Talking Behind Your Back.'
Explain that this activity is not about saying negative things about others. Instead, this activity is about noticing what it feels like to say and receive kind words.
Break the class into groups of 3–4 students.
Explain that one person will turn their back to the rest of the group and the other students will say kind things about the person who has their back to the group.
Model how this may be done for the class.
Tell students that they have one minute to talk about each person and that you will ring a chime at the end of each minute, until everyone has had a turn with others talking behind their back with positivity.
Ask them to begin.
Ring the chime after one minute and repeat until everyone has had a turn.
Periodically throughout this exercise, ask students to pause and notice how it feels to say and receive kind words.
Ask, 'What did you notice? How did it feel to receive kind words? How did it feel to say positive words towards others?'","Students will be able to define the word 'self-esteem' and discuss why self-esteem is important in school, friendships, and in community.",
Social Emotional,2,3,"Join students together in a circle, either seated or standing.
Pair students up into partners.
Explain that today the class will be discussing forgiveness.
Ask the class to take a moment and think about what forgiveness means (give them 30–60 seconds).
Ask students to share with a partner what forgiveness means to them.
Ask the class for volunteers to share what forgiveness means aloud to the class.
Explain to the class that today they will be hearing the true story The Forgiveness Garden and learning about conflict resolution.",Students will be able to define 'conflict resolution' and discuss the role forgiveness plays in practicing conflict resolution.,
Reading & Writing,2,5,"Write the word holiday on the board in a circle. Define the word as: a special day to remember or celebrate something.
Ask students to share what they know about holidays. Record their answers around the circle to create a concept web with facts and details about holidays.
Invite students to share some of their favorite holidays from anytime during the year. Have them share with a partner, and then call on volunteers to share with the whole group.
Prompt the class to think specifically about winter holidays celebrated in December. Ask them to share the holidays they know of or celebrate at that time of the year. Record the holidays on the board.
Share with the class that they are going to learn about winter holidays that are celebrated around the world in this lesson by researching about the holiday. Then, they will share what they learned with the rest of the class.",Students will be able to research and describe a specific holiday with facts and details.,
Reading & Writing,2,2,"Ask your students, 'How do we know what details are important to remember about a person?'
Jot some of their ideas down on the board. Student ideas will vary, but latch onto the concept that their importance depends what this person has done or said, and what influence he or she has had on others. Define influence as the ability to change someone's mind or actions. Possible follow-up questions could be:
'Why do we remember people?'
'Who are some people you like to remember?'
'Why would you read a book about someone?'
Explain that today we are going to read a biography, or a text about a person that usually includes important dates and events in that person's life.
Tell students they will learn more about the first African American female astronaut to enter into space, then answer questions about her life.",Students will be able to learn about Mae Jemison and answer questions about what they have read.,
Reading & Writing,2,2,"Call students together.
Show students the newspaper.
Explain to students that journalists try to answer the 5Ws when writing their stories. Ask if any students know what these are. If not, explain to students that these are: Who, What, When, Where, Why, and How.
Read one of the newspaper stories. Ask students if they can identify the answers to these questions. At the end, do students know who was important? What was happening? When it was happening? And why it was happening?
Explain to students that one way of taking notes and getting the important information out of a story is recording the answers to these questions like journalists.","At the end of this lesson, students will be able to read a text and take notes about the important people, places, and events described.",
Reading & Writing,2,2,"Gather students to the rug for the start of the lesson.
Ask students to name the five vowels, A, E, I, O, and U. Ask them what makes vowels special. Answers might include, each letter makes two sounds. Vowels are sometimes silent within a word.
Say, “Today we are going to learn about special vowel combinations that include the letter R. When a vowel is followed by the letter R, the sound changes to something new. Some people call this the Bossy R for this reason.”
In most short words with a vowel in the middle, the vowel sound is the short sound like in the words cat, fat, and sit. If we take the last letter of each word and change it to r, they become new words: car, far, and sir. Did you hear how the r makes the vowel sound change in each word?",Students will be able to identify and read words with r-controlled vowel patterns.,
Reading & Writing,2,2,"Invite the students to participate in a shared class drawing.
Explain that each student will have the opportunity to add to the drawing but that their turn is over when they lift the pencil or marker.
Post a large piece of chart paper or use an interactive whiteboard.
Invite all students to the front of the class and have the students form a line.
Have one student begin the drawing and then pass the pencil or marker on to the next student in line.
Once the drawing is complete, lead a brief discussion about the drawing. What details can the students find?
Tell the students that writing is like drawing or painting a picture. The details and word choices are very important because they help the reader make a vivid image of the writing.
Tell the students that they will be working on choosing and editing words for poems that they will write.","Students will be able to distinguish between general and specific words.
Students will be able to select specific and vivid words related to poetry that they will write.
Students will be able to use spelling strategies to attempt spelling words of choice.
Students will be able to revise and edit their writing.Students will be able to distinguish between general and specific words.Students will be able to select specific and vivid words related to poetry that they will write.Students will be able to use spelling strategies to attempt spelling words of choice.Students will be able to revise and edit their writing.",
Math,2,2,"Share with students that people across the world will be celebrating Valentine's Day this month, and one of the biggest Valentine's Day traditions is to give cards to people you care about.
Explain to students that today they will learn about Mr. Mason's second graders who celebrated Valentine's Day in class by exchanging cards with one another.
Tell students that we have information about the types of Valentine's Day cards that Mr. Mason's students exchanged, and we are going to use this information to create graphs and answer some questions.",Students will be able to identify the features of a bar graph and draw a bar graph to represent a data set.,
Social Emotional,2,3,"Invite students to join into a circle, either seated in chairs or on the floor.
Explain to the class that today, they will be exploring different ways to feel more calm or energized through yoga.
Ask the class what tools they know of that help them feel calm (e.g. mindfulness of breath, peace corner, slowing down, noticing sounds, etc.). Write their responses on the board.
Ask the class what helps them feel more energized (e.g. playing with a pet or friends, running, time outside, etc.). Again, write their responses on the board.
Explain that today, they will practice some yoga, or mindful movement poses. Tell them that yoga is a practice of breathing mindfully in different poses to de-stress, focus, and relax. There are different yoga poses that support calm, and there are some that help us feel more energized.",Students will be able to utilize yoga stretches to de-stress and calm their minds and bodies.Students will be able to utilize yoga stretches to de-stress and calm their minds and bodies.,
Social Emotional,2,3,"Warm up the electric kettle before class, and let it cool for 4–5 minutes.
Create a label, 'Friendship Tea,' and place it on the tea kettle.
Join the class together in a circle, either seated or standing.
Ask them what it means to be a good friend.
Show them the kettle, and explain that you are making 'Friendship Tea.'
Ask, 'What would your recipe be for 'friendship tea'?' Offer suggestions, such as kindness, honesty, love, good listening, goofiness, and respect.
Write students' ingredients for their recipe for friendship on sticky notes.
Place sticky notes on tea bag tags.
Place the tea bags in the kettle as students offer more responses to their friendship recipe.
Write 'friendship' on the board.
Underneath, write the list of traits for a good friendship.
Explain that being a good friend takes practice, and it doesn't necessarily mean that you'll never get into arguments. However, being a good friend means that you are able to have respect and be kind with each other, even if you have differences.
Tell the class that they will enjoy their 'friendship tea' at the end of class (or the end of the day) together, once it has cooled down.
If available, place the kettle in a fridge to cool it quicker.","Students will discuss and reflect on friendship, and how to cheer up others who may be upset.",
Social Emotional,2,3,"Join students together in a circle, either seated or standing.
Pair students up into partners.
Explain that today the class will be discussing how we can relate with others.
Pass out whiteboards and whiteboard markers.
Project the first scenario from the Empathy Scenarios worksheet on the board.
Read the first scenario out loud.
Read the question and ask student partners to discuss how they would feel or relate to the person in the story.
Give pairs two minutes to discuss.
Ask students to write down their feelings and what they discussed on their whiteboard.
Ask for 2–3 groups to share their thoughts and what they wrote on their whiteboard.
Project the next three scenarios and move through the same sequence of events (read the scenario and questions, give students time to discuss, write, and share).",Students will be able to define the word 'empathy' and discuss ways to positively relate to others and exhibit understanding and empathy.,
Social Emotional,2,3,"Join students together in a circle, either seated or standing.
Ask students to bring their right hand into the circle and to reach for another person's hand. Tell them to make sure not to grab the hand of the person next to them
Ask everyone to reach their left in and to find someone else's hand (making sure it's not the person right next to them).
Explain that they have just created a human knot!
Ask students to work together to untangle their knot without letting go of hands.
Explain that the goal is to end up in a circle, still holding hands.
Tell them that they can go under or over arms or legs if needed!
Ask them to get creative, but remind them that they can't break the chain or they will have to start over.
Give students 5–7 minutes to complete.
Play inspiring music (optional).
Ask, 'How did you work together to unravel your knot? How did you problem solve?'
Ask, 'How did cooperation play a role in this activity?'",Students will be able to define the word 'cooperation' and discuss ways the class may use cooperative skills when problem solving.,
Reading & Writing,2,3,"Gather the students together in a circle.
Write 'Malcolm X' on the whiteboard and show students a picture of Malcolm X.
Ask students to turn and talk to discuss if they have ever read about or heard about this person before.
Allow students to share out their ideas as a whole group.
Explain to the students that they will watch a short video to learn a little more about Malcolm X's life before reading a book about his childhood.
Pass out the I Notice, I Wonder, I Learned worksheet to each student. Explain to the students that they will fill out the worksheet as they watch the video about Malcolm X.
Play the Malcolm X Biography: Black History Month video. Rotate around the room and support students in filling out the worksheet as needed.
Provide time for students to share what they noticed, wondered, and learned from watching the video.","Students will be able to identify the main topic of a text.
Students will be able to write informative texts to examine a topic.Students will be able to identify the main topic of a text.Students will be able to write informative texts to examine a topic.",
Social Emotional,2,3,"Draw or find images of service workers ahead of time and project them on the board.
Pause at each image and ask, 'Who is this? What type of service job do you think they have?'
Ask, 'What does service mean to you?'
Write down the word 'service' on the board, along with student responses.
Ask, 'What are some ways you serve and help in your family? In the classroom? School?'
Explain that you have taken on the service role in your community as a teacher.
Explain to them why you chose to become a teacher (connected to service).
Ask students to turn to a partner and to answer the question: 'What type of service job would you like to take on some day?'
Give students 1–2 minutes each to answer this question with their partners.","Students will be able to define 'service' and identify people who serve in their school and local community, along with generating ways they, too, may serve.",
Social Emotional,2,3,"Place images related to community, isolation, happiness, and loneliness around the room.
Tell students that there are images around the classroom, and they will be moving through a gallery walk to observe these images. Explain that this means that they will move around in silence to look at the different images. Then, they will write down what they notice about each of the pictures and reflect on how they feel when looking at each image.
Hand out papers for students to write down their observations, questions, and emotions.
Give students 3–4 minutes to move around the room in silence.
Ring a chime, or make a sound/gesture, after four minutes to signal the end of the gallery walk.
Bring students into a circle, either seated in chairs or on the floor.
Project each image on the board in front of the room, and ask the class to share their observations, questions, and how the images make them feel.
Ask students to describe where they notice the various feelings in their body.
Ask if any of the pictures stand out for them, and if so, ask them why.
Ask students the following questions, one at a time: 'How does disconnection feel? Where do you notice that in your body? How does being a part of a community feel, or feeling a sense of belonging? Where do you feel this in your body?'
Explain to the class that sometimes negative experiences or images can stick in our brains.
Ask students to raise their hands if the negative images stood out most to them.
Explain to them that scientists who study the brain (neuroscientists) have found that every person's brain is wired in this way and that this is called 'negativity bias.'
Write 'negativity bias' on the board.","Students will be able to understand, practice, and explain the importance of savoring positive feelings to counter negativity bias.",
Math,2,2,"PRIOR TO THE LESSON
Create fall baskets for each small group of students. Make sure you put different amounts of fall items in each basket (e.g., four pumpkins, six pinecones, etc.) so each group's bar graph will vary.
INTRODUCTION
Gather the students together in a comfortable area.
Write the word data on the whiteboard. Ask the students, 'Have you ever collected data before?' Allow the students a few minutes to turn and talk with an elbow partner to share their ideas.
Encourage a few students to share their ideas with the class.
Clarify that data is facts or statistics that is collected to learn more about something.
Explain to the students that today they will be exploring baskets of things that remind you of fall. They are going to find out whose basket has the most, least, and the same amount of certain fall items.
Continue by explaining to the students that they will create bar graphs to represent the data, or items, they find in their fall baskets. Elaborate that bar graphs are graphs that show data in a visual way.",Students will be able to make a bar graph to represent data.,
Reading & Writing,2,2,"Gather the students together in a circle.
Write the following sentence starter on the whiteboard:
I can be kind by ________.
Model completing the sentence (e.g., I can be kind by listening to my friend.)
Have students think-pair-share their ideas with a partner.
Record their responses on the whiteboard.
Explain to the students that they will listen to and watch a music video. Explain that while they watch the video, you want them to think of some ways they see the characters (e.g., the singer and monsters) being kind to each other.
Use a projector or document camera to show students the Sesame Street: Try a Little Kindness on YouTube.
Allow students to share out the ways they saw the characters being kind to each other. Record their ideas on the whiteboard alongside the previous ideas.","Students will be able to explain what it means to listen with their heart.
Students will be able to explain the central message of a story.Students will be able to explain what it means to listen with their heart.Students will be able to explain the central message of a story.",
Social Emotional,2,3,"Place papers with numbers 1–5 up and separated on a few walls. (You may also place a happy face on 5, neutral face on 3 and a sad face on 1).
Join students together in a circle.
Show the class the numbered papers up on the wall.
Explain that you will read things aloud and if they like what is said, they will move to the number 5, if they are not sure they will move to the number 3, and if they strongly dislike it they will move tothe number 1. Tell them to move to 2 if they are feeling in between disliking and neutral, and 4 if they feel in between liking it and being neutral.
Model for the class and say, 'Reading books.'
Explain that you love to read books and then move to the number 5.
Tell students, 'Now it's your turn!'
Say, 'Ice cream,' and allow students to move to a number.
Continue to read each phrase below and allow for students to move to each number and to look around the room.
'Playing outside'
'Dogs'
'Reading books'
'When others say mean things'
'To feel peaceful'
'P.E.'
'Art and painting'
'When someone lies to you'
'When someone tells you the truth'
'When you make a mistake'
'When you hear encouraging words'
Pause and bring students back together in a circle.
Ask, 'What did you notice? What similarities did the class have?
Explain that they may have noticed a friend who liked something different from them.
Ask, 'What was that like? How does this activity affect how you view the class and people in general?'
Explain that they may have noticed that most of the people in class wanted peace and that they did not like when people say mean things.
Ask, 'If we had asked a thousand more people, do you think most of them would have wanted this, as well?'",Students will be able to practice sending peaceful thoughts to themselves and others and create a classroom banner that represents peace.,
Social Emotional,2,3,"Share a story of a kind deed someone once did for you and how that made you feel. Then share a story of a kind deed you did for someone else and how that made you feel.
Ask students to share in pairs when they experienced both the giving and receiving of a kind deed.
Have a few students share out with the whole class.
Build on student answers and make connections with their comments.
Now ask students to reflect on why it is important to engage in kind acts. Take a few comments from the class and share that today the class will be focused on acts of kindness.",Students will be able to discuss what it means to be kind and will perform random acts of kindness in groups.,
Reading & Writing,2,2,"Gather the class for the start of the lesson.
Begin to write the alphabet on the whiteboard.
Say, “Today we will practice using the letters of the alphabet to sort words in a different way. We are going to learn how to alphabetize. This means to sort things by the order of the letters in a word. Sometimes we also call this putting things into alphabetical order.",Students will understand how to put words into alphabetical order.,
Reading & Writing,2,2,"Read aloud the selected nursery rhymes.
Tell students that nursery rhymes are short rhymes for children. They often tell stories and are passed down through generations.",Students will be able to compose an original song with the words of a nursery rhyme.,
Reading & Writing,2,2,"Hold up a high-interest nonfiction text and a familiar fiction text for the students to see.
Ask students to think about how nonfiction and fiction texts differ and why. Students might say that nonfiction texts are about real-world things, they help us to learn things, find information, and explain things. Fictional texts are about imaginative things and are made up.",Students will be able to use and identify nonfiction text features.,
Reading & Writing,2,2,"Review the definitions of adjectives and nouns with your students.
Explain that an adjective is a word that describes a noun. Adjectives describe nouns by giving information, such as the noun's size, shape, age, color, appearance, and texture. A noun is a word that names a person, place, or thing. A noun describes who or what.
Tell students that in honor of the spring season, we will practice identifying nouns and adjectives in Easter-themed sentences.
Tell students that Easter is a holiday that some people celebrate during the springtime. Ask students to share what they know about Easter.",Students will be able to read sentences and identify the nouns and adjectives.,
Reading & Writing,2,2,"Present students with a riddle: I’m made of glass, this much is true. But when you look, you won’t see through. Reflect on this, and you’ll have a clue!
Give students time to think about their answer.
Allow students to make guesses.
Tell students that the correct answer to the riddle is a mirror.
Prompt students to talk to their shoulder partners about the job of a mirror.
Accept student answers and explain that today’s pronoun lesson is connected to mirrors because of what a mirror is made to do. A mirror’s job is to reflect back to you. Today’s lesson covers a type of pronoun that reflects, too.",Students will be able to use reflexive pronouns in complete sentences.,
Reading & Writing,2,5,"Tell students that today they will practice focusing on the present moment.
Ask students to raise their hand to define 'the present.'
Explain to your class that today we will define the word 'present' can mean a gift, but it also describes what is happening right now, and that this is how the class will define 'the present' today.
Introduce the words past and future, for comparison, if they have not yet been suggested by students.","Students will be able to describe the present, as differentiated from past and future, and give examples.
Students will be able to use their senses to notice and describe the present moment, including the things, details, people, and place around them.Students will be able to describe the present, as differentiated from past and future, and give examples.Students will be able to use their senses to notice and describe the present moment, including the things, details, people, and place around them.",
Social Emotional,2,5,"Ask students to think about the word mindful, and share what it means to them. If needed, guide with the following: 'Mindful means to pay attention to what is happening right now, in the moment.'
Ask: 'If mindful means paying attention to what is happening right now, what do you think mindful walking means?'
Have students share ideas about mindful walking.
Ask: 'What is it called when you stop walking and stay in one place?'
Have students share their ideas, and then introduce the word stillness, if it has not been shared.
Explain that today you will explore the relationship between mindful walking and stillness.",Students will be able to practice moving mindfully. Students will be able to explore the relationship between mindful walking and stillness.,
Fine Arts,2,4,"Tell students that today we will be doing art projects outside. We will take pictures of our projects but we won't be able to take them home.
Project pictures of Andy Goldworthy's fall leaves series.
Ask students what they see in Goldworthy's work. What **patterns **do they see? What colors? What shapes?",Students will create patterns using objects found in nature. Then they will discuss what is seen in works of art made by others.This art lesson corresponds to California Visual and Performing Arts Standards: 2.1 Create patterns and three-dimensional arrangements (using manipulatives or blocks). 4.1 Discuss what is seen in works of art. 4.4 Select works of art by others and tell what they like about them.,
Reading & Writing,2,3,"Give each student a sticky note. Instruct them to write down any verb in the present tense. Note that some students may need a refresher about verb tenses.
Direct students to change the verb to its past tense.
Have students look at their verb and think about the process for changing it from present to past tense. Without further teaching and reviewing, prompt students to categorize the verb as either regular or irregular.
Invite students to place their sticky note in a labeled section of the wall, door, or board based on the categorization on which they decided.",Students will be able to form and use the past tense of frequently occurring irregular verbs.,
Math,2,2,"Gather students in a circle and hold up the shape bag.
Explain that this is a mystery shape bag that will be passed around. Students have to try to figure out what’s inside without peeking.
Demonstrate the procedure by closing your eyes, manipulating the bag with your fingers, thinking aloud about what you feel inside.
Pass the bag around the circle and ask each student to share one observation about what is felt.
Explain that our observations about what we feel in the bag are our first clues regarding what is inside. Add that more clues will follow as we open the bag and experiment with the shapes.",Students will be able to identify and describe various shapes using defining attributes.,
Math,2,2,Tell your students that they will practice multiplying by 2's using a fun worksheet and playing a game.,Students will practice multiplying by 2's.,
Math,2,2,"Give students a short number comparison problem to introduce them to the lesson. For example: My brother and I went bowling over the weekend. I scored 105 points and he scored 131 points.
Ask your students who won and have them explain their answers.
Tell students that today they will be learning how to compare three-digit numbers by using <, >, or = to show their answers.","Students will be able to compare two three-digit numbers at a time using the >, <, or = signs to record their answers.",
Math,2,2,"Explain to your students that they will be practicing subtraction today.
Ask your students to give examples of subtraction that they see in real life. For example, when they eat apples, they are subtracting apples from the apples in their refrigerators.",Students will practice subtraction using a number chart and create subtraction problems for other students to complete.,
Math,2,2,"Tell students that today they will be learning about different types of polygons.
Pass out lined paper to students.
Explain that polygon is just a fancy word meaning a shape with three or more straight sides and angles, you may want to review the definition of 'angle'.
Write the word 'polygon' and its definition on the board, and have students copy this on their paper.
Create a t-chart on the board underneath the definition. On one side write 'examples.' On the other side write 'non-examples.' Students should recreate this on their paper.
Draw a picture of a square on the 'examples' side. Explain that this is a polygon because it is a closed shape with four sides and four angles.
Draw a picture of a circle on the 'non-examples' side. Explain that although it is a closed shape, this is not a polygon because it does not have straight sides or angles.
Draw a picture of a shape that is not closed on the 'non-examples' side. Explain that although it has angles and straight sides, this is not a polygon because it is not closed.
Give students a few minutes to work with a partner and continue drawing examples and non-examples of polygons.
Have some students come to the board to share their examples and non-examples.",Students will be able to define and identify three types of polygons.,
Math,2,3,Tell your students that they will be using animal pictures to help them understand and practice multiplication.,Students will be able to multiply one digit numbers.,
Math,2,2,"Gather students together in a circle. On a small whiteboard, write the subtraction problem 31 – 16, vertically. Say, 'I have 31 delicious cupcakes. I give 16 away to my friends. How many do I have left?' Explain to the students that to solve this problem, we can use base-ten blocks.
Get out base-ten blocks. Have a student create the total number of cupcakes and place the blocks on the place value chart.
Say, 'I want to take 16 cupcakes away. Hmm. I see that I can take one group of ten, which is equal to ten ones. But I only have one 1 in my ones place! What should I do?'",Students will be able to accurately subtract two-digit problems with regrouping.,
Math,2,2,"Tell students that today you are going to teach them how to subtract two-digit numbers.
Think of a short word problem that uses subtraction with two-digit numbers. For example: 36 children are out on the playground. A teacher comes out and calls 17 of them back in. How many children are left on the playground?
Solve this problem on the board by lining up the place values and using regrouping to break up the digit in the tens place to create enough ones to subtract.",Students will be able to solve subtraction problems with two-digit numbers.,
Math,2,2,"Explain to your students that they are going to be asked a question to create a special bar graph for the class.
Explain to students how bar graphs help us view data in an organized and readable way.",The students will be able to use a bar graph to represent data.,
Math,2,2,"Tell the class that they will watch a video on telling time.
Record the current time on the board.
Show the Telling Time for Children – Learning the Clock video.
After the video, record the ending time to the nearest minute. Ask the class how many minutes passed between the starting and ending times.
Tell the class that today they will tell and write time to the nearest five minutes using an analog clock.",Students will be able to tell and write time to the nearest five minutes. They will also be able to use a.m. and p.m. when identifying the time of day.,
Social Emotional,2,3,"Bring students into a circle, either seated in chairs or on the floor.
Guide students in a mindful breathing session.
Ask them to sit upright comfortably and come to stillness (as much as they can) with quiet bodies.
Ask students to close their eyes or look down at the floor and take a few deep breaths to feel their belly slowly rise and fall.
If their minds wander, ask them to gently bring their attention back to the feeling of their breath or belly.
Ask students what they noticed and how they feel.
Review the definition of mindfulness:
Mindfulness is paying attention to what is happening in the present moment with gentleness, kindness, and curiosity.
Ask students what they paid kind attention to during the practice session.
Explain to students that we will be talking about how we can bring kind attention to emotions and how emotions are always changing.
Explain that we will also be exploring where emotions are felt in the body.","Students will be able to use a variety of feeling words.
Students will be able to articulate how they feel when they experience certain emotions.Students will be able to use a variety of feeling words.Students will be able to articulate how they feel when they experience certain emotions.",
Social Emotional,2,3,"Bring students together in a circle, either seated in chairs or on the floor.
Write or project the following quote on the board: 'A relationship is about two things: appreciating the similarities and respecting the differences.'
Ask a student to read the quote out loud.
Ask the class to think about what this quote means to them. (Give them 30–60 seconds.) Then, ask them to share their thoughts with a partner.
After, ask if any pairs would like to share out with the whole class.
Explain to the class that today they will be discussing the word 'diversity.' They will also be appreciating and respecting each other's differences.","Students will be able to define the term 'diversity.'
Students will be able to articulate how appreciating each other's differences can bring people together.
Students will be able to explain how they may be more open to understanding similarities amidst differences.Students will be able to define the term 'diversity.'Students will be able to articulate how appreciating each other's differences can bring people together.Students will be able to explain how they may be more open to understanding similarities amidst differences.",
Social Emotional,2,3,"Join the class together in a circle, on the rug or in chairs.
Tell them that today they will participate in a personal experience panel.
Explain that three or four volunteers will describe a time when someone used positive words with them, and a time when someone used mean words with them (no names will be used).
Share an example of each instance from your own life. For example: 'When I was in college a guy in my calculus class said women aren't good at math, and that really impacted my confidence. I learned to persevere because I love math, and now I'm a math teacher.'
Tell students that everyone who isn't speaking should listen to each volunteer on the panel with kind attention.
Write 'Personal Experience Panel' on the board.
Underneath it, write a list of the following guidelines for the panel:
Each person has equal time to speak.
No one interrupts, gives advice, or breaks in with a personal story.
What is said in the classroom, stays in the classroom.
Focus on each speaker with eye contact and listening ears.
Ask for three or four volunteers to come into the center of the circle to form a smaller circle.
Explain that they will each have three minutes to share an experience.
Ask the class to take a few deep breaths into their bellies, and to relax their shoulders and hands.
Then, have them return to normal breathing and feel their feet in their shoes or on the floor.
Give each volunteer the following prompt: 'Describe a time someone used mean words with you. What was this like? How did you feel?'
Remind the listeners of the guidelines on the board, and have the volunteers speak one at a time.
Afterwards, give the next prompt: 'Describe a time someone used kind and uplifting words with you. What was this like? How did you feel?'
Again, remind the class of the guidelines, and have the volunteers speak for three minutes.
Thank the volunteers, and ask them to return to the larger circle.
Ask the class, 'What was it like to hear your classmates' stories? How did their experiences impact them? How can our words impact others and our community?'
(Note: If a student shares a situation where they have been emotionally abused or inflicted with physical harm, teachers must follow up as they are mandatory reporters.)",Students will be able to identify the impact that helpful or hurtful language has on others.,
Social Emotional,2,3,"Bring students outside, and have them join into a circle for mindful movement poses.
Tell them to sit on their mats or towels.
Ask them to calm their bodies and take a few deep breaths. Encourage them to feel their breaths going in and out.
Explain to the class that they will be practicing mindful movement together, and that this can create greater calm, focus, flexibility, strength, and balance of both their bodies and minds.
Tell them that today, they will just focus on poses.
Ask students to pay attention to what is similar in each pose that you demonstrate.
Have them watch you move into a few poses. (Review the Animal Pose Figures worksheet ahead of time if you are unfamiliar with the poses detailed below.)
Move into seated cow pose and say, 'cow pose.'
Move into seated cat pose and say, 'cat pose.'
Move into seated frog pose and say, 'frog pose.'
Ask students to join you now for seated cow, seated cat, and frog pose.
Guide them to feel their breath in each pose.
Afterwards, ask, 'What was similar about each pose?' Build upon their answers, and explain that each pose had an animal name.",Students will be able to design their own animal mindful movement pose and will explore how they can use nature and mindful movement to create calm.,
Reading & Writing,2,3,"Gather the students together in a comfortable area.
Explain to the students that today they are going to learn about a very famous black American named W.E.B. Du Bois.
Display the picture of W.E.B. Du Bois and ask students to turn and talk to a partner, explaining if they have ever heard about or seen a picture of this famous person before.
Allow a few students to share out their ideas.","Students will be able to compare the most important points presented by two different sources (e.g., video and text).
Students will be able to participate in shared research and writing projects.Students will be able to compare the most important points presented by two different sources (e.g., video and text).Students will be able to participate in shared research and writing projects.",
Math,3,4,"Write the following problem on the board: 365 – 174.
Distribute the whiteboards and ask students to solve the problem using a strategy of their choice. Then, ask students to turn to their elbow partner to compare strategies and answers.
Choose students who used different strategies to share their steps to solve the problem.
Solve the problem on the board using expanded form subtraction and highlight that you have to regroup. Define regrouping as changing groups of ones, tens, or hundreds into another value (e.g., changing 1 ten to 10 ones).
Explain that they'll learn two strategies for solving subtraction problems to help them check their answers and better understand subtraction processes.",Students will be able to use two different strategies to subtract three-digit numbers.,
Reading & Writing,3,4,"Begin by telling the class that today, they will be learning about close reading.
Activate prior knowledge by asking students to think of a time they were doing something they did frequently, but weren’t really paying attention. For example, ask them to imagine they are riding in a car with other people.
What are those people doing?
Are they playing on their phones, watching television, or falling asleep?
Explain that when people don’t pay attention to the details around them, they often miss out on small things. For example, if people in the car paid attention to scenery around them, they’d learn things about their destination, the road, and the world around them.
Tell students that finding enjoyment in everyday things often comes from looking at the details, and this applies to reading.
Explain that when the best readers read, they don’t do it on autopilot. Instead, they read carefully and absorb all of the small details that the author has to offer. These readers are close readers.
Share that, by becoming close readers, they’ll be able to pay attention to details in the book, and pick up as much information as possible from the text.",Students will be able to understand that close reading is a strategy that helps them read with a focus in order to deepen comprehension.,
Typing,3,5,"Write these sentences (or something similar without capitalization or punctuation) on the board: i can’t wait for this weekend; what day is today; i want to go to the pool to practice my diving.
Ask students to explain what is wrong with these sentences.
Invite volunteers to come up to the board to edit these sentences.
Support students to see that these sentences are missing capital letters and ending punctuation.
Ask students why capital letters and ending punctuation are necessary. What would it be like to read a text without them?
Tell students that today we are going to learn how to type capital letters, periods, question marks, and exclamation marks using our practice paper keyboards.","Students will be able to type capital letters, periods, question marks, and exclamation marks using correct finger placement.",
Reading & Writing,3,3,"Distribute copies of the In My Opinion: Writing Guide worksheet.
Ask the students to help you develop a definition for the word opinion.
Have them write down the definition on page 1 of the worksheet and complete the following prompts on pages 1 and 2 on their own.
Have students take out paper and pencils. Each student will now use their planning from pages 1 and 2 to write a two-paragraph essay stating one of their opinions, with three supporting reasons.
At the end of page 3, students will follow the prompt to write a conclusion for their essay.",Students will be able to write short essays that include opinions and reasons that support them.,
Math,3,3,"Play the video Perimeter, by Math Antics, for the class to introduce the concept of perimeter.
Once the video is complete, ask for a volunteer to tell you the definition of perimeter.
Write the definition on the board.
Draw a few figures on the board, along with the lengths of their sides.
Challenge students to find the perimeter of the geometrical figures you’ve drawn.
Each time a student answers, correctly or incorrectly, explain the reasoning behind each figure’s perimeter.",Students will be able to find the perimeter of a given geometric figure.,
Math,3,3,"Invite the students to bring their math journals and a pencil to the class meeting area.
Tell them to place their supplies on the floor next to them.
Tell the students that today they're going to learn a strategy for solving long division problems. Write the word Division on the board.
Let the students know that division is an operation that tells us the number of groups that can be made out of another number.
On the board, set up a division problem, such as 17/5. Solve the problem so that you are left with the answer 3 with a remainder of 2. Label each number with its corresponding name. 17 should be the dividend, 5 is the divisor, 3 is the quotient and 2 is the remainder.
Define these terms for your students as follows:
Dividend: In a division problem, the number that is to be divided is called the dividend.
Divisor: In a division problem, the number that divides the dividend is called the divisor.
Quotient: Upon division, the number obtained other than the remainder is called the quotient.
Remainder: The remainder is the number that is left over after dividing.",Students will be able to use long division.,
Math,3,4,"Tell students that today they will be playing a game to learn a new math skill.
Tell them that they will use information from their game, or the game's data, to make a type of graph where the frequency of an item is recorded along a number line called a line plot.
Explain to students that they will be making a data chart, which is used to organize the data, and a line plot, which shows data on a number line to show frequency.",Students will be able to collect data and plot fractions on a line plot.,
